"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"27P4-G81",NA,"John William Cunningham","1715 - 1765",50,"USA",21,5
"2D65-99H",NA,"Anne Gleason","1713 - 1766",53,"USA",11,7
"2WM7-P6G",NA,"Rebecca Lathrop","1701 - 1747",45,"USA",10,13
"93R2-H66",NA,"Gilbert De Nugent","1754 - Unknown",NA,"Ireland",1,0
"9X1R-QJL",NA,"Johannes John Rauenzahner","1737 - 1814",76,"Germany",11,9
"G2VN-J59",NA,"Joh. Nickel Nagel","Unknown - Unknown",NA,NA,1,0
"GS4K-LHH",NA,"Margaret or Margery Browne","1714 - 1801",87,"Ireland",8,0
"K2T4-MQC",NA,"Hannah Baldwin","1715 - 1835",120,"USA",13,5
"K4RB-CV5",NA,"Anna Maria Sybille Lenning","1710 - 1790",79,"Germany",1,0
"K4XB-ZGN",NA,"Marcus Henrich Hopffner","1711 - 1755",45,"Germany",1,0
"K8QW-GD2",NA,"Uriah Allard","1725 - 1810",85,"USA",8,4
"KGB3-3SZ",NA,"Rebecca Hurlbut","1720 - Unknown",NA,"USA",3,5
"KLB8-1QB",NA,"Jabez Wright","1728 - 1796",68,"USA",8,7
"KLJJ-YVB",NA,"Benjamin Tryon","1715 - Unknown",NA,"USA",3,10
"L27H-ZMR",NA,"Maria Catharina Mattheis","1699 - 1761",62,"Germany",12,5
"L4T6-WXC",NA,"Johann Friederich Kieffer","1738 - Unknown",NA,"USA",9,10
"L691-VC5",NA,"Gershom Wheelock Sr.","1693 - 1770",77,"USA",7,10
"L78Z-VT8",NA,"Sabina Vollmer","1739 - Unknown",NA,"USA",9,0
"LCPX-XTG",NA,"Ruth Carpenter","Unknown - Unknown",NA,"USA",5,10
"LDH1-W8D",NA,"Moses Hutchinson","1697 - 1776",79,"USA",10,8
"LH8B-9PS",NA,"Esther Russell","1699 - 1779",80,"USA",14,10
"LHF8-Y64",NA,"James Merrick","1698 - 1790",92,"USA",7,7
"LHGD-KNS",NA,"Nathan Perry","1718 - 1806",87,"USA",6,9
"LHJW-1GF",NA,"Johannes Peter Mohr","1702 - 1740",37,"Germany",10,0
"LK3T-3RK",NA,"Abigail Baker","1739 - 1817",78,"Germany",8,7
"LLCC-G2L",NA,"Martha Ely","1698 - 1780",81,"USA",7,2
"LRVV-YSJ",NA,"Abigail Flagg","1694 - 1762",68,"USA",7,9
"LT3F-935",NA,"Francis Nicholas Marshall","1728 - 1802",74,"France",5,2
"LT3X-BSC",NA,"Marguerite Grandadam","1729 - 1805",75,"France",5,2
"LTT3-L3X",NA,"John Phillip Mason","1730 - 1812",82,"Germany",8,0
"LV7M-1JL",NA,"David Waye","1700 - 1783",82,"USA",15,10
"LV92-71L",NA,"Michael Franks Jr.","1745 - 1814",69,"France",12,2
"LWJV-TFQ",NA,"Elizabeth Livengood","1743 - 1790",47,"USA",12,1
"LZ4N-XH1",NA,"John Drury Sr.","1711 - 1786",74,"USA",12,9
"LZBP-SWM",NA,"Hannah P Fiske","1719 - 1813",94,"USA",6,8
"LZC5-LTD",NA,"Joseph Vinton","1714 - 1795",81,"USA",13,8
"LZFW-4Y5",NA,"Bartholomeus Schumacher","1729 - 1793",64,"France",10,10
"LZKN-N5H",NA,"Prudence Child","1729 - 1803",73,"USA",8,11
"LZLK-8QR",NA,"Edward Lewis","1697 - 1747",50,"USA",10,6
"M1ST-3Z8",NA,"Benoni Root Clark","1730 - Unknown",NA,"USA",15,12
"M2WP-LQ5",NA,"John White Jr.","1655 - Unknown",NA,"USA:New York:Long Island",1,0
"M2YV-FXY",NA,"Irene Mattoon","1690 - 1752",62,"USA",10,0
"MB79-GY6",NA,"Jacob Nagel","Unknown - Unknown",NA,NA,6,0
"MB79-GYR",NA,"Maria Margaretha","Unknown - Unknown",NA,NA,5,0
"MGKW-ZP3",NA,"Martha Washburn","1729 - Unknown",NA,NA,7,7
"MT29-M8X",NA,"Elisabeth Margaretha Repp","1742 - 1823",81,"USA",11,3
"MTGN-Z6Y",NA,"Anna Maria Barbara","1721 - 1780",59,"Germany",10,0
"26KX-2QL",NA,"Susannah Bowen","1696 - 1756",60,"USA",6,2
"27CW-6PJ",NA,"Hannah Richardson","1689 - 1766",78,"USA",6,14
"2ZVG-C1Y",NA,"Johann Casper Repp","1716 - 1786",69,"Germany",4,2
"93R2-71L",NA,"Nicholas Grandadam","1698 - Unknown",NA,"France",3,3
"93R2-HF9",NA,"Matilda De'L'aigle","1734 - Unknown",NA,NA,1,0
"93R2-HXH",NA,"Sir Sir Fulke","1734 - Unknown",NA,NA,1,0
"93R2-WM7",NA,"Marguerite Blaise","1700 - 1751",51,NA,3,0
"947Z-SP2",NA,"Catharina Gebhard","1722 - Unknown",NA,"Germany",4,0
"G22S-WBN",NA,"Maria Mary Miller Mueller","Unknown - Unknown",NA,"Germany",3,0
"G67D-P9V",NA,"Mrs. Browne","1684 - Unknown",NA,"Ireland",1,0
"G67D-TCY",NA,"Patrick Browne","1680 - Unknown",NA,"Ireland",1,0
"G8GT-P55",NA,"Hannah","Unknown - Unknown",NA,NA,8,0
"G8JB-4JR",NA,"John White Only son","1625 - Unknown",NA,NA,1,0
"GJ1F-TMC",NA,"Anna Margaretha Eilbeck Lawrence Lorentz","1710 - 1791",81,"Germany",1,0
"GLJB-MQQ",NA,"Johannes B Mattheis","1674 - 1700",26,"Germany",8,3
"GQF1-7LZ",NA,"James Wright","1699 - 1750",50,"USA",8,9
"GZ7X-D1L",NA,"Hans Jacob Liebenguth Jr","1697 - 1754",57,"France",3,0
"GZY5-R5X",NA,"Johanna McCarthy","1645 - 1693",48,"Ireland",6,4
"K1WK-2H4",NA,"Esther Tuttle","1672 - 1724",52,"USA",11,8
"K4D9-R3L",NA,"Elizabeth Huckins","1671 - 1741",69,"USA",7,4
"K8D9-Y5J",NA,"Joanna Ainsworth","1700 - 1788",87,"USA",6,15
"K8PJ-8HT",NA,"Johann Bernhardt Hopffner","1690 - 1750",60,"Germany",1,0
"K8QL-79Y",NA,"Dorthea","1695 - Unknown",NA,"France",1,0
"K8V7-GRH",NA,"Nicholas Lenning","1697 - Unknown",NA,"France",1,0
"KH29-DBZ",NA,"Mercy Brown","1699 - 1751",52,"USA",13,11
"KL4K-QDG",NA,"John Vinton","1681 - 1760",79,"USA",11,8
"KLWS-WF4",NA,"Joseph Child","1696 - 1765",69,"USA",12,10
"KPDR-TZ3",NA,"Sarah Guild","1702 - Unknown",NA,"USA",8,8
"L134-LK5",NA,"Hope Lathrop","1671 - 1736",65,"USA",14,14
"L2W3-WQJ",NA,"Elizabeth Lothrop","1677 - 1763",85,"USA",14,8
"L41Y-NZW",NA,"Ann Lester","1670 - 1754",84,"USA",11,6
"L5YG-XYT",NA,"Matturin Allard","1682 - 1774",92,"USA",5,0
"L7N5-C9Z",NA,"Anna Margaretha Lossen","1687 - 1722",35,"Germany",9,8
"L7NT-VP4",NA,"Bethiah Cutter","1686 - 1735",48,"USA",10,7
"L8SK-J7R",NA,"Experience Childe","1669 - 1759",90,"USA",10,7
"LB79-2BV",NA,"Benoni Clark","1693 - 1769",76,"USA",13,6
"LB88-PJ4",NA,"Andreas Rudolph Schumacher","1693 - 1767",74,"France",11,6
"LC66-SRY",NA,"Ensign Timothy Baldwin","1689 - 1750",61,"USA",6,5
"LC8T-966",NA,"Hannah Root","1699 - 1748",49,"USA",13,0
"LCDQ-TXD",NA,"Sarah Hitchcock","1678 - 1734",55,"USA",8,11
"LCVV-VJB",NA,"Abigail Bridges","1697 - 1788",90,"USA",12,8
"LCZ3-41V",NA,"Abigail Learned","1684 - 1765",81,"USA",8,10
"LCZS-VPZ",NA,"Deacon Samuel Wheelock","1664 - 1740",76,"USA",11,6
"LDBG-3QK",NA,"Abigail Richardson","1683 - 1720",36,"USA",9,13
"LH3P-61W",NA,"Samuel Russell","1671 - 1724",52,"USA",11,3
