"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"2Z35-X55",NA,"Susannah Shewis","1717 - 1771",54,"USA",12,0
"9JWH-DSM",NA,"John Coolbroth","1700 - Unknown",NA,"UK:Northern Ireland",1,0
"9JWH-DSS",NA,"Mrs. John Coolbroth","1702 - Unknown",NA,"USA",1,0
"G8DD-VGR",NA,"Bunker","Unknown - Unknown",NA,NA,1,0
"G8WM-RCT",NA,"Abigail Hale","1688 - 1793",104,"USA",15,1
"K2VZ-9VX",NA,"Elizabeth Maxfield","1694 - Unknown",NA,"USA",3,7
"KVLP-XVS",NA,"Deborah Parcher","1710 - 1790",80,"USA",12,5
"KZCP-V4Q",NA,"Elizabeth Dyer","1627 - Unknown",NA,NA,1,0
"L14M-9P3",NA,"Clement Drew Sr","1694 - 1763",69,"USA",8,10
"L4CZ-3QD",NA,"Sarah Ruggles","1723 - 1776",53,"USA",9,13
"L4FK-Y7D",NA,"Theodosius Lamphere","1685 - 1749",64,"USA",11,9
"L4HK-L9K",NA,"David Smith","1726 - 1783",57,"USA",9,9
"L6B5-4MJ",NA,"Samuel Stewart Jr.","1704 - 1785",81,"USA",12,7
"L8WL-YH1",NA,"Daniel David Morrison III","1691 - 1756",64,"USA",13,8
"LBF9-CYZ",NA,"Samuel Howland Sr.","1704 - 1797",93,"USA",13,12
"LC52-JSL",NA,"Hepzibah Carter","1725 - 1753",27,"USA",4,9
"LCJX-S96",NA,"George Thomas Hughson","1717 - 1769",52,"USA",14,7
"LCP5-MQM",NA,"Mary Bunker","1698 - Unknown",NA,"USA",8,4
"LCXR-97D",NA,"Mary Rust","1705 - 1760",55,"USA",8,0
"LCY5-PZ1",NA,"Sarah Killam","1703 - Unknown",NA,"USA",9,10
"LDST-SFN",NA,"Elizabeth Ryder","1650 - 1711",61,"USA:New York:Long Island",8,5
"LH6B-TLS",NA,"Grace Reynolds","1729 - 1787",58,"USA",10,7
"LHF2-FSZ",NA,"Ezekiel Herrick","1699 - 1760",61,"USA",8,5
"LHKK-GKQ",NA,"Jeremiah Rollins","1675 - 1768",93,"USA",9,4
"LHKK-RWT",NA,"Samuel Randall","1695 - 1765",70,"USA",6,6
"LHKT-LPM",NA,"James Hope Covey Sr","1687 - 1729",42,"USA",9,2
"LHW8-LSS",NA,"Captain Daniel Moulton","1731 - 1809",78,"USA",10,4
"LHX9-H8K",NA,"CATHERINE WEDGEWOOD","1697 - 1776",79,"USA",1,0
"LK3T-NC5",NA,"Sarah Losee","1684 - 1722",39,"USA:New York:Long Island",8,6
"LK3T-ND9",NA,"John Brass","1680 - 1722",42,"USA:New York:Long Island",11,6
"LK6K-D15",NA,"Dorothy Allen","1707 - 1752",44,"USA",12,9
"LM1Z-DNF",NA,"Rachel Covey","1687 - 1760",73,"USA",11,2
"LTNR-6ZK",NA,"Jonathan Sisson","1687 - 1755",68,"USA",11,9
"LV76-5CW",NA,"Sarah Lanphere","1687 - 1726",39,"USA",10,0
"LVKG-XM9",NA,"Caleb Seward","1662 - 1728",66,"USA",7,8
"LX7M-129",NA,"Edmund Webber","1710 - 1792",82,"USA",12,5
"LZ4V-6P4",NA,"Lydia Bushnell","1661 - Unknown",92,NA,7,10
"LZF3-9LY",NA,"Sarah Soule","1703 - 1746",42,"USA",8,10
"LZG9-8P2",NA,"Ebenezer Morris","1698 - 1798",100,"USA",9,11
"LZL7-22L",NA,"Elizabeth Ham","1681 - 1768",87,"USA",9,9
"LZLK-Q24",NA,"Nathaniel Fenderson Sr","Unknown - 1813",94,"USA",10,3
"LZPF-PVT",NA,"Jonathan Rose Sr.","1679 - 1767",88,"USA",15,10
"LZXB-GRQ",NA,"Caleb Curtice","1646 - 1730",83,"USA",8,8
"LZZW-8BK",NA,"Mary Wood","1702 - 1751",49,"USA",11,8
"MDFX-RBD",NA,"Eleanor Littlefield","1697 - 1756",58,"USA",13,9
"2YR3-9WH",NA,"Patience Mary Collins","1679 - 1745",66,"USA",11,8
"975Y-VNS",NA,"David Littlefield","1660 - 1751",91,"USA",10,8
"99VR-N9X",NA,"Nicholas Howland","1670 - 1722",51,"USA",13,8
"9C6H-5QW",NA,"Thomas Drew","1665 - 1734",69,"USA",11,5
"9CGX-RJ1",NA,"Lieutenant William Bushnell Sr","Unknown - 1683",72,NA,11,10
"9CGX-YKZ",NA,"Rebecca Chapman","1617 - 1703",86,"UK:Great Britain",11,0
"9K9R-YXL",NA,"Ichabod Rawlins","1640 - 1707",67,"USA",5,9
"G3MX-HN7",NA,"Mary Tibbetts","1658 - 1688",30,"USA",5,11
"GGQY-L4B",NA,"Jane Hulet","1643 - 1703",60,"USA",1,0
"GGQY-VFY",NA,"George Lanphere","1631 - 1731",100,"UK:Great Britain",1,0
"K872-QWC",NA,"John Maxfield","1657 - 1703",46,"USA",8,0
"KH2X-8DZ",NA,"Thomas Ryder","1620 - 1679",59,"UK:Great Britain",6,5
"KH38-KWH",NA,"Mary","1622 - Unknown",NA,NA,6,0
"KL43-Z4G",NA,"Samuel Stuart","1670 - 1752",82,"USA",8,11
"KN35-4D6",NA,"George Lamphere","1642 - 1731",89,"UK:Great Britain",10,3
"KNMT-233",NA,"James Sisson I","1656 - 1734",78,"USA",10,5
"KNSQ-S2Y",NA,"Lieut. William Seward","1627 - 1689",62,"UK:Great Britain",9,0
"KNZR-S8R",NA,"Mrs. George Lamphere","1645 - Unknown",NA,"USA",10,0
"KZJS-8G1",NA,"Elizabeth Hammond","1661 - 1709",48,"USA",8,3
"L2C5-HJX",NA,"Thomas B HUGHSON","1696 - 1762",66,"USA",8,9
"L2C7-NB2",NA,"Elizabeth Tozier","1659 - 1704",45,"USA",7,7
"L2YW-H7C",NA,"James Allen","1671 - 1734",64,"USA",10,5
"L5GR-532",NA,"Elizabeth Goodrich","1645 - 1711",65,"USA",11,9
"L5JC-QFG",NA,"Shewis","Unknown - Unknown",NA,NA,1,0
"L5YT-5B9",NA,"Mary","1670 - Unknown",46,"USA",2,0
"L6B5-W31",NA,"Dorcas Baston","1676 - 1752",76,"USA",8,9
"L6QQ-R5B",NA,"John Webber","1683 - 1740",57,"USA",11,12
"L7XP-TB5",NA,"Jesse R. Smith Sr.","1703 - 1782",79,"USA",10,9
"L8HV-1V4",NA,"Elizabeth Lamprey","1702 - 1772",70,"USA",5,11
"LB96-FPZ",NA,"Joseph Ruggles Sr","1701 - 1791",90,"USA",17,7
"LB96-Z8Q",NA,"Rachel Tolles","1702 - 1746",44,NA,14,7
"LBHW-WLL",NA,"William Soule","1671 - 1723",51,"USA",11,7
"LC8Q-Y4K",NA,"Frances Bennett","1694 - 1765",71,"USA",9,3
"LCLY-R44",NA,"Christina Catherina Neythaber","1689 - 1750",61,"USA",8,8
"LCLY-SW8",NA,"Joseph Bunker","1666 - Unknown",54,"USA",5,5
"LDQV-BFV",NA,"Magdalene Hilton","1671 - 1725",53,"USA",12,0
"LH11-TX4",NA,"Sarah Higgins","1706 - 1766",60,"USA",10,13
"LH2J-K3M",NA,"Jonathan Moulton","1702 - 1735",32,"USA",5,3
"LH5L-JHP",NA,"Sarah Davis","1673 - 1733",60,"USA",12,10
"LH6B-T45",NA,"Richard Carter","1694 - 1753",59,"USA",10,3
"LH6B-TJG",NA,"John Reynolds","1700 - Unknown",49,"USA",8,0
"LHV9-JKY",NA,"Sarah Carwithy","1627 - 1666",39,"USA",9,7
"LK3T-7QY",NA,"Sara Jacob Kolfs","1663 - 1722",59,"USA:New York:Long Island",7,2
"LK3T-Q5W",NA,"Pieter Jan Losee","1659 - 1704",46,"USA:New York:Long Island",7,9
"LKKM-HKP",NA,"Pieter Hendrickszen Brass","1640 - 1718",77,NA,7,12
"LR1L-ZR4",NA,"Mary Mercy Hill","1668 - 1746",77,"USA",10,8
"LR4P-4QK",NA,"Content Thurston","1667 - Unknown",61,"USA:49",9,11
