"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"2MJ7-996",NA,"Maria Magdalena Runkel","1709 - 1804",95,"Germany",11,7
"9JDW-SG6",NA,"James Lynn Sr.","1720 - 1797",77,NA,9,0
"9Q1F-B91",NA,"Hannah Echols","1734 - 1823",89,"USA",9,8
"9ZSS-XGH",NA,"Catherine Roach Johnson","1706 - Unknown",NA,"USA",3,0
"G3JS-LB5",NA,"Ingabo Hughes","1730 - 1785",55,"USA",7,7
"G4X2-PMC",NA,"Elizabeth Jordan","1720 - 1792",72,NA,6,0
"G8B4-44T",NA,"Mary Elizabeth Farrar","1698 - 1758",60,"USA",23,8
"GCZN-D6H",NA,"Thomas Swaffer","1706 - 1778",72,"USA",5,11
"GD4Q-44Q",NA,"Lt John Bean","Unknown - Unknown",NA,NA,1,0
"GGX8-C8D",NA,"Chamley","Unknown - Unknown",NA,NA,4,0
"GKYJ-4LD",NA,"Mary Elizabeth Everitt Averitt","1695 - 1787",92,"USA",6,4
"GMW2-92X",NA,"Benjamin William Peyton","1705 - 1748",43,"USA",8,9
"GN29-QLP",NA,"Joseph Wagner","1705 - 1746",40,"Germany",6,5
"GNW6-SRD",NA,"Sarah Ann Wilson","1701 - 1752",51,"USA",14,0
"GQCG-C8G",NA,"John Sullivant","Unknown - Unknown",NA,NA,1,0
"GQCP-Q3R",NA,"Heather Nelson","Unknown - Unknown",NA,"USA",1,0
"L1R4-RH6",NA,"Margaret Gregg","1697 - 1770",73,"UK:Great Britain",9,0
"L5BQ-TGL",NA,"Johann Wilhelm Kell","1708 - 1786",78,"Germany",11,3
"L5RT-PMJ",NA,"John Kinkead","1721 - 1772",51,NA,6,4
"L62C-Z8Z",NA,"Vardry McBee","1734 - Unknown",66,"USA",9,7
"L6JV-CNK",NA,"Jeremiah York","1683 - 1765",82,"UK:Great Britain",16,5
"L8MB-C2K",NA,"Margaret Jane Kirkpatrick","1720 - 1823",103,"USA",9,8
"L8MB-C2W",NA,"George Clingan","1720 - 1778",58,"UK:Northern Ireland",9,5
"LB7J-9BY",NA,"Robert Melton","1696 - 1759",62,"USA",13,13
"LC8H-F4S",NA,"Eleanor Bell Corprew","1702 - 1753",51,"USA",8,9
"LCPL-WPW",NA,"Seth Pettypool","1701 - 1773",72,"USA",11,16
"LCXS-2CJ",NA,"Mary Elizabeth York","1693 - 1779",86,"UK:Great Britain",3,5
"LDF6-ZR9",NA,"Hugh Blain Kirkpatrick","1696 - 1768",72,"UK:Great Britain",9,13
"LDMW-9JN",NA,"Martha Ragsdale","1700 - 1773",73,"USA",11,12
"LJYJ-2GM",NA,"William John Diffee","1710 - 1783",73,"UK:Great Britain",2,1
"LRDF-9WJ",NA,"Sarah Willes","1735 - 1795",60,"USA",22,0
"LRM2-PL9",NA,"Richard Massey","1696 - 1740",44,"USA",9,4
"LV2Y-844",NA,"Adam Sheffield","1687 - 1764",77,"UK:Great Britain",6,1
"LZ23-6ZM",NA,"Michael Clingan","1698 - Unknown",NA,"Ireland",6,0
"LZXR-ZQN",NA,"Anna Maria Vogelgesang","1707 - 1786",78,"Germany",6,6
"M2Z7-CJ3",NA,"Elizabeth Margaret McLean","1700 - 1813",113,"USA",6,0
"M9B1-JKC",NA,"Anne Susanna Pettipool","1693 - 1770",77,"USA",9,6
"M9VB-ZZP",NA,"Reuben Allen Jr","1721 - 1751",30,"USA",2,7
"MLHB-YRP",NA,"John Owen Sullivan","1692 - 1795",103,"Ireland",8,5
"273X-SBR",NA,"Mary Langton","1679 - 1733",54,"USA",10,0
"49D5-G9D",NA,"Mary Elizabeth Baxter","1676 - 1750",74,"USA",14,0
"96XL-MYQ",NA,"Mrs Ann Hughes","1674 - Unknown",NA,"Ireland",2,0
"9VYQ-PLB",NA,"Amelia Christina Fritz","1676 - Unknown",NA,"Germany",4,4
"G3DP-QFK",NA,"Anna Elizabeth McClure","1701 - 1772",71,"Ireland",5,0
"G42S-HZ6",NA,"Dr. John Linn","1695 - 1752",57,"Ireland",2,0
"G666-CGR",NA,"Georg Wilhelm Kell","1681 - 1744",63,"Germany",9,6
"G6WC-DLQ",NA,"John Corprew","1670 - 1741",71,"USA",11,5
